1	55504550	55504750	MLPA_01
10	13142577	13142777	MLPA_02
10	92631689	92631889	MLPA_03
10	92634889	92635089	MLPA_04
10	92640829	92641029	MLPA_05
10	92646059	92646259	MLPA_06
10	92660059	92660259	MLPA_07
10	92665059	92665259	MLPA_08
11	126243852	126244052	MLPA_09
14	104179705	104179905	MLPA_10
17	27072199	27072399	MLPA_11
19	10980493	10980693	MLPA_12
2	113584226	113584426	MLPA_13
20	10623689	10623889	MLPA_14
5	13764065	13764265	MLPA_15
6	160578770	160578970	MLPA_16
X	110530999	110531199	MLPA_17
X	115218099	115218299	MLPA_18
X	129093299	129093499	MLPA_19
X	22175899	22176099	MLPA_20
X	48644399	48644599	MLPA_21
X	54498799	54498999	MLPA_22
